ticker,cutoff_date,horizon,model,actual,last_price,prediction,price_mae,return_abs_error,direction_hit,model_type
AAPL,2011-03-11,5,GJR-GARCH,9.890216827392578,10.527891159057615,10.640175200179982,0.749958372787404,0.07123538431931653,0.0,statistical_ml
AAPL,2011-03-11,5,XGBoost,9.890216827392578,10.527891159057615,10.72758813112017,0.8373713037275916,0.07953837013286025,0.0,statistical_ml
AAPL,2011-03-11,5,LightGBM,9.890216827392578,10.527891159057615,10.705295437231728,0.8150786098391496,0.07742088111709822,0.0,statistical_ml
AAPL,2011-03-11,5,VAR,9.890216827392578,10.527891159057615,,,,,statistical_ml
AAPL,2011-03-11,5,Chronos-LoRA-V1,9.890216827392578,10.527891159057615,10.63239070642339,0.7421738790308119,0.07049596807355729,0.0,chronos_lora
AAPL,2011-03-11,5,Chronos-LoRA-V2,9.890216827392578,10.527891159057615,10.641687048321728,0.75147022092915,0.07137898840097967,0.0,chronos_lora
AAPL,2011-03-11,5,Chronos-LoRA-V3,9.890216827392578,10.527891159057615,10.639668351465643,0.7494515240730646,0.07118724089660433,0.0,chronos_lora
AAPL,2011-03-11,5,Chronos-LoRA-V4,9.890216827392578,10.527891159057615,10.629890470852338,0.7396736434597599,0.0702584812366136,0.0,chronos_lora
AAPL,2011-03-11,10,Naive,10.514430046081545,10.527891159057615,10.527891159057615,0.013461112976070666,0.0012786143751580825,,statistical_ml
AAPL,2011-03-11,10,ARIMA,10.514430046081545,10.527891159057615,10.528143851430505,0.013713805348960051,0.0013026165584132388,0.0,statistical_ml
AAPL,2011-03-11,10,ETS,10.514430046081545,10.527891159057615,10.571098523745784,0.05666847766423899,0.0053826998026557105,0.0,statistical_ml
AAPL,2011-03-11,10,GARCH,10.514430046081545,10.527891159057615,10.773913726583842,0.25948368050229753,0.02464726093592373,0.0,statistical_ml
AAPL,2011-03-11,10,EGARCH,10.514430046081545,10.527891159057615,,,,,statistical_ml
AAPL,2011-03-11,10,GJR-GARCH,10.514430046081545,10.527891159057615,10.75365679413608,0.23922674805453603,0.022723140317490675,0.0,statistical_ml
AAPL,2011-03-11,10,XGBoost,10.514430046081545,10.527891159057615,10.976696120465219,0.46226607438367395,0.04390870568470551,0.0,statistical_ml
AAPL,2011-03-11,10,LightGBM,10.514430046081545,10.527891159057615,11.162028920430746,0.6475988743492014,0.06151268706763202,0.0,statistical_ml
AAPL,2011-03-11,10,VAR,10.514430046081545,10.527891159057615,,,,,statistical_ml
AAPL,2011-03-11,10,Chronos-LoRA-V1,10.514430046081545,10.527891159057615,10.739122936545177,0.22469289046363272,0.02134263045361362,0.0,chronos_lora
AAPL,2011-03-11,10,Chronos-LoRA-V2,10.514430046081545,10.527891159057615,10.755538213276441,0.2411081671948967,0.02290184839035503,0.0,chronos_lora
AAPL,2011-03-11,10,Chronos-LoRA-V3,10.514430046081545,10.527891159057615,10.749680918213393,0.23525087213184825,0.02234548862422947,0.0,chronos_lora
AAPL,2011-03-11,10,Chronos-LoRA-V4,10.514430046081545,10.527891159057615,10.735772427385305,0.22134238130376005,0.021024379712866748,0.0,chronos_lora
AAPL,2011-03-11,20,Naive,10.021523475646973,10.527891159057615,10.527891159057615,0.5063676834106428,0.04809773161218445,,statistical_ml
AAPL,2011-03-11,20,ARIMA,10.021523475646973,10.527891159057615,10.528144798699312,0.5066213230523395,0.048121823772510286,0.0,statistical_ml
AAPL,2011-03-11,20,ETS,10.021523475646973,10.527891159057615,10.612193488203609,0.590670012556636,0.056105254474297706,0.0,statistical_ml
AAPL,2011-03-11,20,GARCH,10.021523475646973,10.527891159057615,11.025685508536561,1.0041620328895888,0.09538111837579777,0.0,statistical_ml
AAPL,2011-03-11,20,EGARCH,10.021523475646973,10.527891159057615,,,,,statistical_ml
