ticker,history_length,cutoff_date,horizon,model,last_price,actual,predicted,price_mae,return_abs_error
ENPH,180,2025-03-14,20,Naive,58.130001068115234,51.88999938964844,58.130001068115234,6.240001678466797,0.10734563158109911
ENPH,180,2025-03-14,20,ARIMA,58.130001068115234,51.88999938964844,58.12619552893206,6.236196139283621,0.10728016557192566
ENPH,180,2025-03-14,20,XGBoost,58.130001068115234,51.88999938964844,50.34034425712508,1.5496551325233554,0.026658439773766918
ENPH,180,2025-03-14,20,Chronos-2,58.130001068115234,51.88999938964844,56.31475067138672,4.424751281738281,0.076118204032948
ENPH,180,2025-06-25,1,Naive,38.11000061035156,43.0,38.11000061035156,4.8899993896484375,0.12831276072769726
ENPH,180,2025-06-25,1,ARIMA,38.11000061035156,43.0,38.01815684934921,4.981843150650789,0.13072272555402698
ENPH,180,2025-06-25,1,XGBoost,38.11000061035156,43.0,37.867031454934526,5.132968545065474,0.13468823046072687
ENPH,180,2025-06-25,1,Chronos-2,38.11000061035156,43.0,38.13633728027344,4.8636627197265625,0.1276216909428618
ENPH,180,2025-06-25,5,Naive,38.11000061035156,40.970001220703125,38.11000061035156,2.8600006103515625,0.07504593451973651
ENPH,180,2025-06-25,5,ARIMA,38.11000061035156,40.970001220703125,37.996093416065264,2.973907804637861,0.07803484012094397
ENPH,180,2025-06-25,5,XGBoost,38.11000061035156,40.970001220703125,38.35222745361315,2.6177737670899717,0.0686899429326937
ENPH,180,2025-06-25,5,Chronos-2,38.11000061035156,40.970001220703125,37.238792419433594,3.7312088012695312,0.09790629077702107
ENPH,180,2025-06-25,10,Naive,38.11000061035156,42.970001220703125,38.11000061035156,4.8600006103515625,0.12752559780939676
ENPH,180,2025-06-25,10,ARIMA,38.11000061035156,42.970001220703125,37.99606203847385,4.973939182229273,0.13051532675332023
ENPH,180,2025-06-25,10,XGBoost,38.11000061035156,42.970001220703125,36.7566920633314,6.213309157371725,0.16303618624671556
ENPH,180,2025-06-25,10,Chronos-2,38.11000061035156,42.970001220703125,36.59600067138672,6.374000549316406,0.16725270131811742
ENPH,180,2025-06-25,20,Naive,38.11000061035156,35.52000045776367,38.11000061035156,2.5900001525878906,0.06796116796399065
ENPH,180,2025-06-25,20,ARIMA,38.11000061035156,35.52000045776367,37.99606202981506,2.4760615720513854,0.06497143879286182
ENPH,180,2025-06-25,20,XGBoost,38.11000061035156,35.52000045776367,33.418879963875725,2.1011204938879473,0.0551330480251222
ENPH,180,2025-06-25,20,Chronos-2,38.11000061035156,35.52000045776367,34.65424346923828,0.8657569885253906,0.02271731762424145
ENPH,180,2025-10-03,1,Naive,36.79999923706055,37.15999984741211,36.79999923706055,0.3600006103515625,0.009782625484106244
ENPH,180,2025-10-03,1,ARIMA,36.79999923706055,37.15999984741211,36.8521545395379,0.30784530787421005,0.008365361800447557
ENPH,180,2025-10-03,1,XGBoost,36.79999923706055,37.15999984741211,36.05792649436666,1.1020733530454478,0.029947646084067525
ENPH,180,2025-10-03,1,Chronos-2,36.79999923706055,37.15999984741211,37.14977264404297,0.010227203369140625,0.0002779131407926183
ENPH,180,2025-10-03,5,Naive,36.79999923706055,34.27000045776367,36.79999923706055,2.529998779296875,0.06874996825404722
ENPH,180,2025-10-03,5,ARIMA,36.79999923706055,34.27000045776367,36.93278304143148,2.6627825836678056,0.07235822388241175
ENPH,180,2025-10-03,5,XGBoost,36.79999923706055,34.27000045776367,34.73919894199372,0.4691984842300485,0.012749959074931927
ENPH,180,2025-10-03,5,Chronos-2,36.79999923706055,34.27000045776367,37.07441329956055,2.804412841796875,0.07620687228092671
ENPH,180,2025-10-03,10,Naive,36.79999923706055,36.560001373291016,36.79999923706055,0.23999786376953125,0.006521681215901576
ENPH,180,2025-10-03,10,ARIMA,36.79999923706055,36.560001373291016,36.94866993028673,0.3886685569957109,0.010561645789500251
ENPH,180,2025-10-03,10,XGBoost,36.79999923706055,36.560001373291016,35.57119460269274,0.9888067705982735,0.026869749758105077
ENPH,180,2025-10-03,10,Chronos-2,36.79999923706055,36.560001373291016,37.179344177246094,0.6193428039550781,0.016829967847698968
ENPH,180,2025-10-03,20,Naive,36.79999923706055,30.51000022888184,36.79999923706055,6.289999008178707,0.17092388963541538
ENPH,180,2025-10-03,20,ARIMA,36.79999923706055,30.51000022888184,36.95079390830231,6.440793679420469,0.1750215710041122
ENPH,180,2025-10-03,20,XGBoost,36.79999923706055,30.51000022888184,37.67329312242541,7.163292893543574,0.19465470222970993
ENPH,180,2025-10-03,20,Chronos-2,36.79999923706055,30.51000022888184,37.0344352722168,6.524435043334957,0.17729443420108348
ENPH,180,2026-01-14,1,Naive,36.130001068115234,35.36000061035156,36.130001068115234,0.7700004577636719,0.02131194118461288
ENPH,180,2026-01-14,1,ARIMA,36.130001068115234,35.36000061035156,35.97752543816492,0.6175248278133552,0.017091746735604763
ENPH,180,2026-01-14,1,XGBoost,36.130001068115234,35.36000061035156,35.7989706491698,0.4389700388182405,0.012149737775835057
ENPH,180,2026-01-14,1,Chronos-2,36.130001068115234,35.36000061035156,36.381858825683594,1.0218582153320312,0.0282828171913293
ENPH,180,2026-01-14,5,Naive,36.130001068115234,40.47999954223633,36.130001068115234,4.349998474121094,0.12039851496046516
ENPH,180,2026-01-14,5,ARIMA,36.130001068115234,40.47999954223633,35.68645878641028,4.793540755826051,0.13267480249416197
ENPH,180,2026-01-14,5,XGBoost,36.130001068115234,40.47999954223633,37.22888698915215,3.2511125530841767,0.08998373808389637
ENPH,180,2026-01-14,5,Chronos-2,36.130001068115234,40.47999954223633,36.351749420166016,4.1282501220703125,0.11426100193817867
ENPH,180,2026-01-14,10,Naive,36.130001068115234,38.25,36.130001068115234,2.1199989318847656,0.058676968425436016
ENPH,180,2026-01-14,10,ARIMA,36.130001068115234,38.25,35.59686889355954,2.653131106440462,0.07343290971507488
ENPH,180,2026-01-14,10,XGBoost,36.130001068115234,38.25,33.624298932609264,4.625701067390736,0.12802936425797462
ENPH,180,2026-01-14,10,Chronos-2,36.130001068115234,38.25,36.39875030517578,1.8512496948242188,0.05123857293372591
ENPH,180,2026-01-14,20,Naive,36.130001068115234,44.13999938964844,36.130001068115234,8.009998321533203,0.22169936575512694
ENPH,180,2026-01-14,20,ARIMA,36.130001068115234,44.13999938964844,35.57496211152213,8.565037278126304,0.23706163921719237
ENPH,180,2026-01-14,20,XGBoost,36.130001068115234,44.13999938964844,29.392423532053897,14.74757585759454,0.40818088628868865
ENPH,180,2026-01-14,20,Chronos-2,36.130001068115234,44.13999938964844,36.33796310424805,7.802036285400391,0.21594342803066513
