ticker,history_length,horizon,model,observations,mean_price_mae,mean_return_abs_error
IONQ,60,10,Chronos-2,50,3.7400195360183717,0.17081452339749806
IONQ,60,10,Naive,50,3.5257998371124275,0.16123855995181344
IONQ,60,20,ARIMA,50,4.8789033739380026,0.26010110509064666
IONQ,60,20,Chronos-2,50,5.714982781410217,0.2993909497455065
IONQ,60,20,Naive,50,4.602800235748291,0.2590897603359201
IONQ,90,1,ARIMA,50,1.0479559224214665,0.04571358802329176
IONQ,90,1,Chronos-2,50,1.003206858634949,0.04565090042161504
IONQ,90,1,Naive,50,1.0009999608993534,0.044642509825487516
IONQ,90,5,ARIMA,50,2.4884299833810015,0.11222645756502077
IONQ,90,5,Chronos-2,50,2.4408405590057374,0.11160048341427765
IONQ,90,5,Naive,50,2.479000053405762,0.11284896282148908
IONQ,90,10,ARIMA,50,3.5098992811332774,0.14777337663695536
IONQ,90,10,Chronos-2,50,3.5845681190490724,0.15446643908059807
IONQ,90,10,Naive,50,3.534000110626221,0.14970738656609317
IONQ,90,20,ARIMA,50,4.961526555443507,0.2224331930889883
IONQ,90,20,Chronos-2,50,5.328041763305664,0.2504448029068351
IONQ,90,20,Naive,50,4.955800151824951,0.2236083808198094
IONQ,180,1,ARIMA,50,0.9440682686366461,0.042242164753662416
IONQ,180,1,Chronos-2,50,1.1440993118286131,0.04863680335595774
IONQ,180,1,Naive,50,0.9626001310348506,0.04304136467931616
IONQ,180,1,XGBoost,50,1.0908155599676257,0.05048048704506839
IONQ,180,5,ARIMA,50,2.4684567088486298,0.11633304337030495
IONQ,180,5,Chronos-2,50,2.747256150245667,0.12269675647489788
IONQ,180,5,Naive,50,2.502199926376343,0.11706508234437507
IONQ,180,5,XGBoost,50,2.7413518486047708,0.13463958671857726
IONQ,180,10,ARIMA,50,3.19228772258007,0.1555241698340484
IONQ,180,10,Chronos-2,50,3.7989373254776,0.17356315619923446
IONQ,180,10,Naive,50,3.193600044250488,0.15501339739104078
IONQ,180,10,XGBoost,50,4.651931837606657,0.22502317265316477
IONQ,180,20,ARIMA,50,4.719262430102841,0.2498282207610051
IONQ,180,20,Chronos-2,50,5.842288584709167,0.29319851224179333
IONQ,180,20,Naive,50,4.722800097465515,0.2488824231210207
IONQ,180,20,XGBoost,50,8.121745104671758,0.38016253993804605
MSFT,30,1,ARIMA,50,2.4564061963551795,0.015065709266262516
MSFT,30,1,Chronos-2,50,2.687466964721682,0.015962864993531497
MSFT,30,1,Naive,50,2.384216346740723,0.015058008165146068
MSFT,30,5,ARIMA,50,4.326550383523292,0.022994596914393827
MSFT,30,5,Chronos-2,50,4.128718795776366,0.024341702806825873
MSFT,30,5,Naive,50,3.7353300476074214,0.0218239125540089
MSFT,30,10,ARIMA,50,7.165068340925512,0.038674348272383974
MSFT,30,10,Chronos-2,50,6.356165466308596,0.04163461125116528
MSFT,30,10,Naive,50,5.946102676391603,0.036623325151462965
MSFT,30,20,ARIMA,50,8.849166720327911,0.04969354614753937
MSFT,30,20,Chronos-2,50,7.696149024963379,0.049327191530313105
MSFT,30,20,Naive,50,6.664801788330078,0.044221734789479654
MSFT,60,1,ARIMA,50,2.0615203562037694,0.010862908340068256
MSFT,60,1,Chronos-2,50,2.0342100143432584,0.010934537579102907
MSFT,60,1,Naive,50,1.8188493728637707,0.01016005975298858
MSFT,60,5,ARIMA,50,3.6385355195838907,0.020633597980074095
MSFT,60,5,Chronos-2,50,3.8685597991943363,0.0216069772623863
MSFT,60,5,Naive,50,3.653377952575685,0.020700403427132297
MSFT,60,10,ARIMA,50,5.930323019886181,0.03317255337289916
MSFT,60,10,Chronos-2,50,6.23343776702881,0.033275831641011236
MSFT,60,10,Naive,50,5.844934692382811,0.0328617753050331
MSFT,60,20,ARIMA,50,8.374921523176928,0.05352788281487616
MSFT,60,20,Chronos-2,50,8.74353343963623,0.05159402610041737
MSFT,60,20,Naive,50,8.421849212646485,0.053790077971454284
MSFT,90,1,ARIMA,50,1.5361913737512594,0.009279995181954735
MSFT,90,1,Chronos-2,50,1.623355598449707,0.009268450672302014
MSFT,90,1,Naive,50,1.5001703643798845,0.009135897893251397
MSFT,90,5,ARIMA,50,4.292161259155457,0.025840935696860155
MSFT,90,5,Chronos-2,50,4.582578506469727,0.027144891837169192
MSFT,90,5,Naive,50,4.11530487060547,0.02505284557630026
MSFT,90,10,ARIMA,50,5.7040895840092585,0.03344147805788939
MSFT,90,10,Chronos-2,50,5.756528015136723,0.03173821541833173
MSFT,90,10,Naive,50,5.504749755859377,0.03207142490575979
MSFT,90,20,ARIMA,50,7.986449200972183,0.04644901475835571
MSFT,90,20,Chronos-2,50,9.575899620056152,0.050308569077557826
MSFT,90,20,Naive,50,8.100277900695799,0.04647384048883199
MSFT,180,1,ARIMA,50,2.035697335044176,0.011266651975600507
MSFT,180,1,Chronos-2,50,2.1068463134765647,0.011965799053305515
MSFT,180,1,Naive,50,1.9938269424438517,0.011007582589748979
MSFT,180,1,XGBoost,50,2.1213487859767555,0.01293783437197922
MSFT,180,5,ARIMA,50,5.053063361541653,0.02969479774079578
MSFT,180,5,Chronos-2,50,5.280155181884766,0.030578119069498665
MSFT,180,5,Naive,50,4.9024856185913075,0.029203267916421097
MSFT,180,5,XGBoost,50,5.3545432908360295,0.03321797617230606
MSFT,180,10,ARIMA,50,7.900645006867953,0.040024429368083626
MSFT,180,10,Chronos-2,50,7.638126869201663,0.03942914984228674
MSFT,180,10,Naive,50,7.716609840393067,0.039306574501314535
MSFT,180,10,XGBoost,50,7.857093919831004,0.0446967955712859
MSFT,180,20,ARIMA,50,10.798789977119304,0.062316787708985605
MSFT,180,20,Chronos-2,50,11.358514251708987,0.06300463208566054
MSFT,180,20,Naive,50,10.998838577270508,0.06259493835915517
MSFT,180,20,XGBoost,50,11.254744457695294,0.0791936898040409
NVDA,30,1,ARIMA,50,0.5646511358254871,0.02349736398129257
NVDA,30,1,Chronos-2,50,0.5549584650993339,0.02317116104030032
