experiment,ticker,horizon,model,observations,mean_price_mae,median_price_mae,mean_return_abs_error,directional_accuracy
Experiment 1 — Univariate Close,ENPH,10,LightGBM,50,10.212960683728866,1.6812042353321206,0.1531336351702925,0.52
Experiment 1 — Univariate Close,ENPH,10,Naive,50,7.874799482822418,2.130000114440917,0.13106677546211792,0.0
Experiment 1 — Univariate Close,ENPH,10,XGBoost,50,9.692819430155025,2.2484516259563767,0.15358103020023547,0.54
Experiment 1 — Univariate Close,ENPH,20,ARIMA,50,12.179544611558008,3.414318147128969,0.2062305543387916,0.56
Experiment 1 — Univariate Close,ENPH,20,Chronos-2,50,12.661301602125167,4.065698623657227,0.19919296232868167,0.56
Experiment 1 — Univariate Close,ENPH,20,ETS,50,12.192508874368539,3.4013470558233045,0.2099219342028163,0.52
Experiment 1 — Univariate Close,ENPH,20,GARCH,50,12.168630977836363,3.4570649972765786,0.21055557778929634,0.4
Experiment 1 — Univariate Close,ENPH,20,GJR-GARCH,50,12.176000715303033,3.4694723008386097,0.21124019410384853,0.4
Experiment 1 — Univariate Close,ENPH,20,LightGBM,50,17.072006935760985,3.612087095287503,0.27282074440937915,0.46
Experiment 1 — Univariate Close,ENPH,20,Naive,50,12.206600259542462,3.4149980545043945,0.20658585887743328,0.0
Experiment 1 — Univariate Close,ENPH,20,XGBoost,50,15.492855347754675,3.581961085484899,0.25618065503236337,0.48
Experiment 1 — Univariate Close,IONQ,1,ARIMA,50,1.320752055938457,0.49764478771891696,0.050458497707276354,0.42
Experiment 1 — Univariate Close,IONQ,1,Chronos-2,50,1.3757735395431516,0.4809536933898926,0.05192927575805241,0.48
Experiment 1 — Univariate Close,IONQ,1,EGARCH,50,1.3067502606487609,0.5000337243770456,0.049444322281826006,0.4
Experiment 1 — Univariate Close,IONQ,1,ETS,50,1.3109294017546844,0.47583699972819815,0.049565391288906725,0.52
Experiment 1 — Univariate Close,IONQ,1,GARCH,50,1.3073580531743525,0.500018627358302,0.04946183123656225,0.38
Experiment 1 — Univariate Close,IONQ,1,GJR-GARCH,50,1.307348174727973,0.5000858036017792,0.049459283551666997,0.4
