ticker,horizon,model,model_type,observations,mean_price_mae,median_price_mae,mean_return_abs_error,directional_accuracy
AMZN,5,Chronos-LoRA-V4,chronos_lora,50,3.23585904420114,1.3217102838548982,0.032914664844884235,0.56
AMZN,5,Chronos-LoRA-V5,chronos_lora,0,,,,
AMZN,10,Chronos-2,chronos_pretrained,50,4.796602723014624,1.7593144198236033,0.04602298024685604,0.62
AMZN,10,Chronos-LoRA-V1,chronos_lora,50,4.826039189890938,1.708882207564642,0.046113395039078624,0.6
AMZN,10,Chronos-LoRA-V2,chronos_lora,50,4.804680150350695,1.6320261074202165,0.046488401398904707,0.6
AMZN,10,Chronos-LoRA-V3,chronos_lora,50,4.817915171178782,1.800786377451928,0.04631277676215453,0.62
AMZN,10,Chronos-LoRA-V4,chronos_lora,50,4.868284168452491,1.8683716837125495,0.04646377035115523,0.6
AMZN,10,Chronos-LoRA-V5,chronos_lora,0,,,,
AMZN,20,Chronos-2,chronos_pretrained,50,6.351458817538217,2.600213923157307,0.06713918836652058,0.56
AMZN,20,Chronos-LoRA-V1,chronos_lora,50,6.354694677609985,3.0357808391561445,0.06697781459767432,0.54
AMZN,20,Chronos-LoRA-V2,chronos_lora,50,6.4535083702612415,2.685925292424619,0.06848072323390544,0.56
AMZN,20,Chronos-LoRA-V3,chronos_lora,50,6.402183691272952,2.854483741604721,0.06762170558444995,0.54
AMZN,20,Chronos-LoRA-V4,chronos_lora,50,6.399888043721636,2.864452703237342,0.06765852998151843,0.54
AMZN,20,Chronos-LoRA-V5,chronos_lora,0,,,,
CVNA,1,Chronos-2,chronos_pretrained,50,1.2983581601998782,0.6288083738024981,0.046486991190103764,0.44
CVNA,1,Chronos-LoRA-V1,chronos_lora,50,1.299130228437378,0.6203414150393707,0.04621757539961806,0.44
CVNA,1,Chronos-LoRA-V2,chronos_lora,50,1.3121881524166985,0.5967822024218643,0.04625838709217863,0.42
CVNA,1,Chronos-LoRA-V3,chronos_lora,50,1.3097226350945217,0.6045815317298984,0.04635667957282139,0.44
CVNA,1,Chronos-LoRA-V4,chronos_lora,50,1.3111518375512392,0.6046583891693822,0.0462105571159991,0.4
CVNA,1,Chronos-LoRA-V5,chronos_lora,0,,,,
CVNA,5,Chronos-2,chronos_pretrained,50,2.6115678449929125,1.5235857654881997,0.10164575079785199,0.54
CVNA,5,Chronos-LoRA-V1,chronos_lora,50,2.5821055858047406,1.503358058520083,0.10120940050520069,0.54
CVNA,5,Chronos-LoRA-V2,chronos_lora,50,2.596631337378112,1.3981994445356363,0.10143166438794576,0.56
CVNA,5,Chronos-LoRA-V3,chronos_lora,50,2.5880919170069645,1.413138294940623,0.10136384954363793,0.54
CVNA,5,Chronos-LoRA-V4,chronos_lora,50,2.565755571534187,1.396171570912037,0.10052801171022997,0.58
CVNA,5,Chronos-LoRA-V5,chronos_lora,0,,,,
CVNA,10,Chronos-2,chronos_pretrained,50,3.49790846903861,1.8097347988220998,0.13647720695725787,0.48
CVNA,10,Chronos-LoRA-V1,chronos_lora,50,3.408624487567802,1.7560734100604485,0.13452490756259322,0.48
CVNA,10,Chronos-LoRA-V2,chronos_lora,50,3.4220054417143335,1.739113248827505,0.13458535214386147,0.48
CVNA,10,Chronos-LoRA-V3,chronos_lora,50,3.4117623478417864,1.7642334218152325,0.13461287540991315,0.46
CVNA,10,Chronos-LoRA-V4,chronos_lora,50,3.3729632922817445,1.749167731845251,0.13336169497305472,0.5
CVNA,10,Chronos-LoRA-V5,chronos_lora,0,,,,
CVNA,20,Chronos-2,chronos_pretrained,50,4.94094817205816,3.0941459246746255,0.20514532483496548,0.5
CVNA,20,Chronos-LoRA-V1,chronos_lora,50,4.896371131498727,3.0647821880899944,0.20586451363225877,0.5
CVNA,20,Chronos-LoRA-V2,chronos_lora,50,5.097351318162627,3.1186669551834094,0.2064530276037074,0.44
CVNA,20,Chronos-LoRA-V3,chronos_lora,50,5.005938410100723,3.1470214355000103,0.20657400372444124,0.48
CVNA,20,Chronos-LoRA-V4,chronos_lora,50,5.054529245425397,3.02946577378483,0.20789724852771996,0.44
CVNA,20,Chronos-LoRA-V5,chronos_lora,0,,,,
ENPH,1,Chronos-2,chronos_pretrained,50,2.2792609010382203,0.35041717367576775,0.0391229213395512,0.32
ENPH,1,Chronos-LoRA-V1,chronos_lora,50,2.2876279968193107,0.36198539196753377,0.03901736868184698,0.34
ENPH,1,Chronos-LoRA-V2,chronos_lora,50,2.265797244002225,0.36352333934563363,0.03872608998193691,0.44
ENPH,1,Chronos-LoRA-V3,chronos_lora,50,2.2641956506795258,0.36004849944029704,0.03875413482701293,0.46
ENPH,1,Chronos-LoRA-V4,chronos_lora,50,2.293104100242942,0.36230002070881273,0.038954527525442754,0.4
ENPH,1,Chronos-LoRA-V5,chronos_lora,0,,,,
ENPH,5,Chronos-2,chronos_pretrained,50,5.277589041222617,1.4155201953776597,0.0887613007632255,0.32
ENPH,5,Chronos-LoRA-V1,chronos_lora,50,5.345811960721614,1.4429919380644058,0.08820814990913002,0.3
ENPH,5,Chronos-LoRA-V2,chronos_lora,50,5.390259546310253,1.1648310785778335,0.0867178613072267,0.38
ENPH,5,Chronos-LoRA-V3,chronos_lora,50,5.376309893975259,1.3379258737570066,0.08760926830562137,0.28
ENPH,5,Chronos-LoRA-V4,chronos_lora,50,5.409879345358728,1.394843713762552,0.08748066173311499,0.32
ENPH,5,Chronos-LoRA-V5,chronos_lora,0,,,,
ENPH,10,Chronos-2,chronos_pretrained,50,7.852067729030011,2.4638547902135937,0.13700297902741732,0.52
ENPH,10,Chronos-LoRA-V1,chronos_lora,50,7.916150041093439,2.4007387475735147,0.13675458379657152,0.54
ENPH,10,Chronos-LoRA-V2,chronos_lora,50,8.126169489990964,2.470205679363781,0.13540205339102757,0.48
ENPH,10,Chronos-LoRA-V3,chronos_lora,50,8.010508872755207,2.4982783187712947,0.13582816234343612,0.54
ENPH,10,Chronos-LoRA-V4,chronos_lora,50,8.050776898421955,2.1809248174830556,0.135027644771312,0.54
