model,lead,observations,empirical_coverage,lower_breach_rate,upper_breach_rate,mean_interval_width,coverage_error_vs_80pct
Chronos-LoRA-V2,17,500,0.756,0.138,0.106,0.0808895160285756,-0.04400000000000004
Chronos-LoRA-V2,18,500,0.786,0.086,0.128,0.08125948813278228,-0.014000000000000012
Chronos-LoRA-V2,19,500,0.758,0.102,0.14,0.08125152241811157,-0.04200000000000004
Chronos-LoRA-V2,20,500,0.77,0.128,0.102,0.08025350688025355,-0.030000000000000027
Chronos-LoRA-V3,1,2000,0.784,0.082,0.134,0.08269978694943711,-0.016000000000000014
Chronos-LoRA-V3,2,1500,0.7646666666666667,0.12333333333333334,0.112,0.08341473823071768,-0.03533333333333333
Chronos-LoRA-V3,3,1500,0.8093333333333333,0.09266666666666666,0.098,0.08311935064693292,0.009333333333333305
Chronos-LoRA-V3,4,1500,0.7846666666666666,0.106,0.10933333333333334,0.08246898172423243,-0.015333333333333421
Chronos-LoRA-V3,5,1500,0.7866666666666666,0.09533333333333334,0.118,0.08291960390222569,-0.01333333333333342
Chronos-LoRA-V3,6,1000,0.786,0.088,0.126,0.08334083504835144,-0.014000000000000012
Chronos-LoRA-V3,7,1000,0.8,0.09,0.11,0.08274774645501748,0.0
Chronos-LoRA-V3,8,1000,0.793,0.102,0.105,0.08291320500709116,-0.007000000000000006
Chronos-LoRA-V3,9,1000,0.797,0.086,0.117,0.08375743840821087,-0.0030000000000000027
Chronos-LoRA-V3,10,1000,0.778,0.125,0.097,0.08407093764329329,-0.02200000000000002
Chronos-LoRA-V3,11,500,0.768,0.108,0.124,0.0845012259716168,-0.03200000000000003
Chronos-LoRA-V3,12,500,0.804,0.102,0.094,0.08409970784280449,0.0040000000000000036
Chronos-LoRA-V3,13,500,0.784,0.124,0.092,0.08409163110610098,-0.016000000000000014
Chronos-LoRA-V3,14,500,0.792,0.088,0.12,0.08488780363835394,-0.008000000000000007
Chronos-LoRA-V3,15,500,0.806,0.09,0.104,0.08397306307684631,0.006000000000000005
Chronos-LoRA-V3,16,500,0.766,0.128,0.106,0.08440948342438787,-0.03400000000000003
Chronos-LoRA-V3,17,500,0.756,0.14,0.104,0.08291037862654775,-0.04400000000000004
Chronos-LoRA-V3,18,500,0.798,0.08,0.122,0.08347379219997675,-0.0020000000000000018
Chronos-LoRA-V3,19,500,0.762,0.098,0.14,0.0830482624443248,-0.038000000000000034
Chronos-LoRA-V3,20,500,0.776,0.122,0.102,0.08233720255177468,-0.02400000000000002
Chronos-LoRA-V4,1,2000,0.7825,0.074,0.1435,0.08239490962168201,-0.01750000000000007
Chronos-LoRA-V4,2,1500,0.7726666666666666,0.11333333333333333,0.114,0.08222454352180163,-0.02733333333333343
Chronos-LoRA-V4,3,1500,0.8053333333333333,0.09266666666666666,0.102,0.0816951757495602,0.005333333333333301
Chronos-LoRA-V4,4,1500,0.7726666666666666,0.114,0.11333333333333333,0.08047510624149193,-0.02733333333333343
Chronos-LoRA-V4,5,1500,0.7866666666666666,0.09133333333333334,0.122,0.08100302353128791,-0.01333333333333342
Chronos-LoRA-V4,6,1000,0.779,0.094,0.127,0.08085670751100406,-0.02100000000000002
Chronos-LoRA-V4,7,1000,0.8,0.09,0.11,0.07945888972608373,0.0
Chronos-LoRA-V4,8,1000,0.786,0.106,0.108,0.0801267574923113,-0.014000000000000012
Chronos-LoRA-V4,9,1000,0.788,0.086,0.126,0.08119144805613905,-0.01200000000000001
Chronos-LoRA-V4,10,1000,0.764,0.132,0.104,0.08077909367717803,-0.03600000000000003
Chronos-LoRA-V4,11,500,0.754,0.11,0.136,0.08011421073134989,-0.04600000000000004
Chronos-LoRA-V4,12,500,0.784,0.114,0.102,0.07925679859239608,-0.016000000000000014
Chronos-LoRA-V4,13,500,0.766,0.13,0.104,0.08049864876456558,-0.03400000000000003
Chronos-LoRA-V4,14,500,0.786,0.09,0.124,0.0804733406342566,-0.014000000000000012
Chronos-LoRA-V4,15,500,0.796,0.094,0.11,0.07959382404573262,-0.0040000000000000036
Chronos-LoRA-V4,16,500,0.752,0.134,0.114,0.08141918052360415,-0.04800000000000004
Chronos-LoRA-V4,17,500,0.768,0.13,0.102,0.08278621499426662,-0.03200000000000003
Chronos-LoRA-V4,18,500,0.784,0.086,0.13,0.08220548061653972,-0.016000000000000014
Chronos-LoRA-V4,19,500,0.766,0.096,0.138,0.08145107713527977,-0.03400000000000003
Chronos-LoRA-V4,20,500,0.772,0.126,0.102,0.08016918035037815,-0.028000000000000025
