ticker,cutoff_date,model,horizon,lead,realized_return,q10,q50,q90,inside_80,lower_breach,upper_breach,interval_width
AAPL,2019-05-13,Chronos-LoRA-V4,20,8,-0.017217387519966376,-0.02335203066468239,0.0015321706887334585,0.024900222197175026,1.0,0.0,0.0,0.048252252861857414
AAPL,2019-05-13,Chronos-LoRA-V4,20,9,-0.0038480299182315214,-0.024137208238244057,0.0014575283275917172,0.0248250775039196,1.0,0.0,0.0,0.04896228574216366
AAPL,2019-05-13,Chronos-LoRA-V4,20,10,-0.0041432509769223635,-0.023732081055641174,0.0013747421326115727,0.024700377136468887,1.0,0.0,0.0,0.04843245819211006
AAPL,2019-05-13,Chronos-LoRA-V4,20,11,-0.004780555421034727,-0.02381023019552231,0.0013873933348804712,0.024394379928708076,1.0,0.0,0.0,0.048204610124230385
AAPL,2019-05-13,Chronos-LoRA-V4,20,12,0.005173175757606785,-0.023514095693826675,0.0013494719751179218,0.024477774277329445,1.0,0.0,0.0,0.04799186997115612
AAPL,2019-05-13,Chronos-LoRA-V4,20,13,-0.018281631594103676,-0.02376847341656685,0.0012691571610048413,0.024269383400678635,1.0,0.0,0.0,0.04803785681724548
AAPL,2019-05-13,Chronos-LoRA-V4,20,14,-0.010161792839909811,-0.023473581299185753,0.0013243567664176226,0.02461877651512623,1.0,0.0,0.0,0.04809235781431198
AAPL,2019-05-13,Chronos-LoRA-V4,20,15,0.03593102643921364,-0.02343110181391239,0.001370216254144907,0.0238987747579813,0.0,0.0,1.0,0.04732987657189369
AAPL,2019-05-13,Chronos-LoRA-V4,20,16,0.016014121738920917,-0.024358080700039864,0.0014912502374500036,0.025119483470916748,1.0,0.0,0.0,0.04947756417095661
AAPL,2019-05-13,Chronos-LoRA-V4,20,17,0.014575177608680434,-0.022525859996676445,0.0010831214021891356,0.02347387559711933,1.0,0.0,0.0,0.045999735593795776
AAPL,2019-05-13,Chronos-LoRA-V4,20,18,0.02626889357610862,-0.02252998575568199,0.0012199112679809332,0.02342400513589382,0.0,0.0,1.0,0.04595399089157581
