horizon,model,model_type,stocks,observations,avg_price_mae,median_stock_mae,avg_return_abs_error,avg_directional_accuracy
5,LightGBM,statistical_ml,10,500,3.3858874526023586,3.1945894048142947,0.08147526918112924,0.49000000000000005
5,Naive,statistical_ml,10,500,2.717854095041752,2.5993201571702955,0.06471487530798042,0.002
5,VAR,statistical_ml,10,0,,,,
5,XGBoost,statistical_ml,10,500,3.256184654179157,3.480044707969931,0.0786932762168514,0.524
10,ARIMA,statistical_ml,10,500,3.9103642978192155,3.592002162694139,0.09266358034997413,0.526
10,Chronos-2,chronos_pretrained,10,500,3.866035718799403,3.6682613765953365,0.09348208574486792,0.5640000000000001
10,Chronos-LoRA-V1,chronos_lora,10,500,3.8379488512415634,3.600815338584708,0.09284098789142867,0.5640000000000001
10,Chronos-LoRA-V2,chronos_lora,10,500,3.856821430711127,3.6343633442274994,0.09270065140295215,0.572
10,Chronos-LoRA-V3,chronos_lora,10,500,3.8460017834767237,3.621721853245467,0.09267365796463656,0.568
10,Chronos-LoRA-V4,chronos_lora,10,500,3.8495205105162618,3.617732366284525,0.09288912633549475,0.5660000000000001
10,Chronos-LoRA-V5,chronos_lora,10,500,3.8152049061051527,3.472144501588371,0.09271332299699345,0.5740000000000001
10,EGARCH,statistical_ml,10,0,,,,
10,ETS,statistical_ml,10,500,3.872923142969712,3.5238292357453287,0.09281559393764,0.556
10,GARCH,statistical_ml,10,500,3.802653036737689,3.4975417503349764,0.09225105065196813,0.558
10,GJR-GARCH,statistical_ml,10,500,3.814084490623576,3.506905995177172,0.09240495837904378,0.5519999999999999
10,LightGBM,statistical_ml,10,500,4.749679012368374,4.944146676984683,0.11595677699315006,0.53
10,Naive,statistical_ml,10,500,3.897812913298607,3.6118875789642333,0.0926671529094262,0.012
10,VAR,statistical_ml,10,0,,,,
10,XGBoost,statistical_ml,10,500,4.425172603883214,4.656825072569518,0.1135420985723207,0.536
20,ARIMA,statistical_ml,10,500,5.573652983625587,5.731490569809042,0.1385646332747899,0.514
20,Chronos-2,chronos_pretrained,10,500,5.684898777743867,5.9102363261563955,0.14271438121354776,0.5820000000000001
20,Chronos-LoRA-V1,chronos_lora,10,500,5.635329523887737,5.811692339957865,0.14132430899534937,0.584
20,Chronos-LoRA-V2,chronos_lora,10,500,5.60528663552805,5.742387266802234,0.1394358567685397,0.584
20,Chronos-LoRA-V3,chronos_lora,10,500,5.616825136859789,5.776728162896227,0.14012538749577796,0.58
20,Chronos-LoRA-V4,chronos_lora,10,500,5.622037782203742,5.750190705096621,0.13960102976705238,0.576
20,Chronos-LoRA-V5,chronos_lora,10,500,5.441470228155937,5.590689107152592,0.1404913448816407,0.576
20,EGARCH,statistical_ml,10,0,,,,
20,ETS,statistical_ml,10,500,5.539522194299493,5.685082493774717,0.14048913618627148,0.532
20,GARCH,statistical_ml,10,500,5.35882652136331,5.513886268467896,0.13857532651344648,0.5640000000000001
20,GJR-GARCH,statistical_ml,10,500,5.37432602158322,5.5327425970328115,0.1388963488136913,0.5660000000000001
20,LightGBM,statistical_ml,10,500,7.608571964773384,7.575395718024975,0.19091501799584462,0.548
20,Naive,statistical_ml,10,500,5.559366273850202,5.679635076522828,0.13850589701243726,0.0
20,VAR,statistical_ml,10,0,,,,
20,XGBoost,statistical_ml,10,500,7.26349645005845,7.662819738817928,0.18868277263805772,0.534
