model,lead,observations,empirical_coverage,lower_breach_rate,upper_breach_rate,mean_interval_width,coverage_error_vs_80pct
Chronos-LoRA-V2,1,2000,0.785,0.0875,0.1275,0.08237277030246332,-0.015000000000000013
Chronos-LoRA-V2,2,1500,0.776,0.11866666666666667,0.10533333333333333,0.08298115662174921,-0.02400000000000002
Chronos-LoRA-V2,3,1500,0.814,0.092,0.094,0.0832030023081849,0.013999999999999901
Chronos-LoRA-V2,4,1500,0.778,0.118,0.104,0.0821257060530285,-0.02200000000000002
Chronos-LoRA-V2,5,1500,0.7853333333333333,0.09466666666666666,0.12,0.08276915074015657,-0.014666666666666717
Chronos-LoRA-V2,6,1000,0.78,0.088,0.132,0.08214967634761706,-0.020000000000000018
Chronos-LoRA-V2,7,1000,0.806,0.09,0.104,0.08108067992981523,0.006000000000000005
Chronos-LoRA-V2,8,1000,0.786,0.11,0.104,0.0812389864209108,-0.014000000000000012
Chronos-LoRA-V2,9,1000,0.79,0.088,0.122,0.08210341744404286,-0.010000000000000009
Chronos-LoRA-V2,10,1000,0.775,0.126,0.099,0.08220721146697178,-0.025000000000000022
Chronos-LoRA-V2,11,500,0.76,0.116,0.124,0.08243958786129951,-0.040000000000000036
Chronos-LoRA-V2,12,500,0.802,0.106,0.092,0.08238617792818695,0.0020000000000000018
Chronos-LoRA-V2,13,500,0.77,0.134,0.096,0.08310708900727332,-0.030000000000000027
Chronos-LoRA-V2,14,500,0.79,0.094,0.116,0.08373711883462966,-0.010000000000000009
Chronos-LoRA-V2,15,500,0.8,0.096,0.104,0.0828502006046474,0.0
Chronos-LoRA-V2,16,500,0.756,0.132,0.112,0.08413874221220613,-0.04400000000000004
Chronos-LoRA-V2,17,500,0.766,0.13,0.104,0.08235649073775858,-0.03400000000000003
Chronos-LoRA-V2,18,500,0.786,0.084,0.13,0.08255150514934212,-0.014000000000000012
Chronos-LoRA-V2,19,500,0.766,0.104,0.13,0.08268265643995255,-0.03400000000000003
Chronos-LoRA-V2,20,500,0.768,0.124,0.108,0.08173957212362438,-0.03200000000000003
Chronos-LoRA-V3,1,2000,0.78,0.092,0.128,0.08376749471994117,-0.020000000000000018
Chronos-LoRA-V3,2,1500,0.7866666666666666,0.11133333333333334,0.102,0.0843882021366929,-0.01333333333333342
Chronos-LoRA-V3,3,1500,0.8173333333333334,0.092,0.09066666666666667,0.08406213205307722,0.01733333333333331
Chronos-LoRA-V3,4,1500,0.784,0.112,0.104,0.08332253773106883,-0.016000000000000014
Chronos-LoRA-V3,5,1500,0.7833333333333333,0.09866666666666667,0.118,0.08383302219087879,-0.01666666666666672
Chronos-LoRA-V3,6,1000,0.783,0.086,0.131,0.08394738713186234,-0.017000000000000015
Chronos-LoRA-V3,7,1000,0.816,0.08,0.104,0.08351307741366326,0.015999999999999903
Chronos-LoRA-V3,8,1000,0.797,0.107,0.096,0.08396045881696046,-0.0030000000000000027
Chronos-LoRA-V3,9,1000,0.804,0.082,0.114,0.08478031458240003,0.0040000000000000036
Chronos-LoRA-V3,10,1000,0.79,0.118,0.092,0.08493735058838502,-0.010000000000000009
Chronos-LoRA-V3,11,500,0.766,0.12,0.114,0.08520364972762763,-0.03400000000000003
Chronos-LoRA-V3,12,500,0.802,0.108,0.09,0.08481552630197257,0.0020000000000000018
Chronos-LoRA-V3,13,500,0.78,0.128,0.092,0.08509494627825916,-0.020000000000000018
Chronos-LoRA-V3,14,500,0.798,0.09,0.112,0.08567131198756396,-0.0020000000000000018
Chronos-LoRA-V3,15,500,0.81,0.088,0.102,0.08487514791917056,0.010000000000000009
Chronos-LoRA-V3,16,500,0.764,0.132,0.104,0.0854742884663865,-0.03600000000000003
Chronos-LoRA-V3,17,500,0.77,0.134,0.096,0.08394496944826096,-0.030000000000000027
Chronos-LoRA-V3,18,500,0.79,0.084,0.126,0.08417531649023294,-0.010000000000000009
Chronos-LoRA-V3,19,500,0.768,0.104,0.128,0.08383591633848846,-0.03200000000000003
Chronos-LoRA-V3,20,500,0.786,0.114,0.1,0.08318823574390262,-0.014000000000000012
Chronos-LoRA-V4,1,2000,0.7945,0.0795,0.126,0.0835228428915143,-0.00550000000000006
Chronos-LoRA-V4,2,1500,0.7786666666666666,0.11333333333333333,0.108,0.08326290961789588,-0.021333333333333426
