ticker,experiment,cutoff_date,horizon,last_price,actual_final,ml_final,chronos_p10,chronos_p50,chronos_p90,ml_mae,chronos_mae,ml_direction,chronos_direction,actual_return,ml_return,chronos_p10_return,chronos_p50_return,chronos_p90_return,chronos_p10_breach,chronos_p90_breach
NVDA,Experiment 2 — OHLCV,2011-07-05,20,0.3635399639606476,0.3301161825656891,0.42189427302122473,0.2987091839313507,0.350876122713089,0.4073139429092407,0.09177809045553564,0.020759940147399902,0.0,1.0,-0.09193977198769965,0.1605169028043747,-0.17833192071371462,-0.034834798104698694,0.12041036278842676,False,False
NVDA,Experiment 2 — OHLCV,2011-10-25,1,0.3308029770851135,0.3346947729587555,0.3340927829806756,0.31597191095352173,0.32998645305633545,0.34379681944847107,0.0006019899780799198,0.004708319902420044,1.0,0.0,0.011764694223536765,0.009944910183548927,-0.04483353282451219,-0.0024683091910868704,0.03927970200828734,False,False
NVDA,Experiment 2 — OHLCV,2011-10-25,5,0.3308029770851135,0.3218745589256286,0.31400624800172605,0.3007442057132721,0.33104705810546875,0.3628621995449066,0.007868310923902555,0.009172499179840143,1.0,0.0,-0.02699013847504672,-0.05077562853693962,-0.0908660848118894,0.0007378440862471081,0.09691334323011391,False,False
NVDA,Experiment 2 — OHLCV,2011-10-25,10,0.3308029770851135,0.3452255129814148,0.32321407749468456,0.29152148962020874,0.3309701979160309,0.374148428440094,0.022011435486730235,0.014255315065383911,0.0,1.0,0.04359856741129153,-0.022940844297409058,-0.11874587046052465,0.000505499776304319,0.13103101954196728,False,False
NVDA,Experiment 2 — OHLCV,2011-10-25,20,0.3308029770851135,0.3452255129814148,0.3316837898114548,0.2752651572227478,0.3359622359275818,0.3988431990146637,0.013541723169959996,0.009263277053833008,1.0,1.0,0.04359856741129153,0.002662650542333722,-0.1678879082399437,0.015596168111693842,0.20568201208190406,False,False
NVDA,Experiment 2 — OHLCV,2012-02-17,1,0.3628531098365783,0.3646845519542694,0.3629077445891327,0.3529660999774933,0.36480873823165894,0.37729960680007935,0.00177680736513669,0.00012418627738952637,1.0,1.0,0.005047337525964535,0.000150569889228791,-0.02724796781688854,0.0053895869762874415,0.039813623121508934,False,False
NVDA,Experiment 2 — OHLCV,2012-02-17,5,0.3628531098365783,0.3541538119316101,0.375110292342603,0.3446897864341736,0.3683346211910248,0.39506208896636963,0.020956480410992906,0.014180809259414673,0.0,0.0,-0.0239747095150602,0.03378001227974892,-0.050056959441756255,0.01510669526000541,0.088765889713051,False,False
NVDA,Experiment 2 — OHLCV,2012-02-17,10,0.3628531098365783,0.3401890397071838,0.3707845988601965,0.3425922691822052,0.3793920874595642,0.42323607206344604,0.030595559153012708,0.03920304775238043,0.0,0.0,-0.062460730017174115,0.02185867726802826,-0.05583758304703024,0.045580366199519995,0.16641158802266576,True,False
NVDA,Experiment 2 — OHLCV,2012-02-17,20,0.3628531098365783,0.3351526856422424,0.37150128778684616,0.32347962260246277,0.38278278708457947,0.4579939842224121,0.03634860214460378,0.04763010144233709,0.0,0.0,-0.07634060021371081,0.023833826184272766,-0.1085108165446027,0.054924917846169485,0.26220217439691584,False,False
NVDA,Experiment 2 — OHLCV,2012-06-12,1,0.2863906621932983,0.278836041688919,0.28413656394747105,0.2773679792881012,0.2873493731021881,0.29707473516464233,0.005300522258552043,0.008513331413269098,1.0,0.0,-0.026378724943484033,-0.007870711386203766,-0.03150480827865565,0.0033475634350212946,0.03730594038758461,False,False
NVDA,Experiment 2 — OHLCV,2012-06-12,5,0.2863906621932983,0.3031026124954223,0.2687142052016251,0.2692156434059143,0.28648391366004944,0.30463021993637085,0.03438840729379722,0.01661869883537287,0.0,1.0,0.05835368434898336,-0.06172148510813713,-0.05997059630314261,0.0003256093129468951,0.06368768312271933,False,False
