ticker,experiment,cutoff_date,horizon,model,actual,predicted,price_mae,return_abs_error,direction_hit
NVDA,Experiment 1 — Univariate Close,2019-01-17,20,xgboost,3.896021842956543,3.9830501067498076,0.08702826379326467,0.023165161572290316,1.0
NVDA,Experiment 1 — Univariate Close,2019-01-17,20,lightgbm,3.896021842956543,4.047050045033033,0.15102820207648993,0.040200649198119054,1.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,1,naive,4.016536235809326,3.927550792694092,0.08898544311523438,0.022656726242920255,0.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,1,arima,4.016536235809326,3.9311973622935907,0.08533887351573544,0.02172826731470412,1.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,1,ets,4.016536235809326,3.9350129074190456,0.08152332839028054,0.020756785257094013,1.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,1,garch,4.016536235809326,3.9315185619341695,0.08501767387515669,0.021646486159594414,1.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,1,egarch,4.016536235809326,3.931038421552928,0.08549781425639802,0.021768735471337175,1.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,1,gjr_garch,4.016536235809326,3.931081094069347,0.08545514173997937,0.021757870553562375,1.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,1,xgboost,4.016536235809326,4.028925873484773,0.01238963767544643,0.0031545454990660193,1.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,1,lightgbm,4.016536235809326,4.0146631100198285,0.0018731257894977205,0.00047691955836248745,1.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,5,naive,3.761475563049317,3.927550792694092,0.16607522964477495,0.04228468030348653,0.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,5,arima,3.761475563049317,3.9300249188627085,0.1685493558133917,0.042914621531291774,0.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,5,ets,3.761475563049317,3.925390313443784,0.16391475039446712,0.04173459722007311,1.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,5,garch,3.761475563049317,3.9474297634046747,0.1859542003553578,0.04734609688594327,0.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,5,gjr_garch,3.761475563049317,3.9452340604207214,0.1837584973714046,0.046787045431271435,0.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,5,xgboost,3.761475563049317,3.9830711100333733,0.22159554698405648,0.05642079725519056,0.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,5,lightgbm,3.761475563049317,3.8905887662870398,0.1291132032377229,0.03287371953989626,1.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,10,naive,3.5527663230896,3.927550792694092,0.37478446960449174,0.09542447428093204,0.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,10,arima,3.5527663230896,3.9299074028317795,0.3771410797421795,0.09602449456381956,0.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,10,ets,3.5527663230896,3.9138408464427767,0.3610745233531767,0.09193376289998234,1.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,10,garch,3.5527663230896,3.9674093498672542,0.4146430267776542,0.10557292538366658,0.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,10,gjr_garch,3.5527663230896,3.962996944675309,0.410230621585709,0.10444947582824571,0.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,10,xgboost,3.5527663230896,3.5810825396497243,0.028316216560124285,0.007209637266256896,1.0
NVDA,Experiment 1 — Univariate Close,2019-05-13,10,lightgbm,3.5527663230896,3.618513029622896,0.06574670653329573,0.01673987428898327,1.0
