ticker,history_length,horizon,model,observations,mean_price_mae,mean_return_abs_error
ENPH,60,1,ARIMA,50,1.5070265429468817,0.027110943544447083
ENPH,60,1,Naive,50,1.5077995073795336,0.0268176734468628
ENPH,60,1,XGBoost,48,1.4617853914793029,0.026259763244404318
ENPH,60,5,ARIMA,50,4.782771741452163,0.0785947142979186
ENPH,60,5,Naive,50,4.800399714708327,0.07829514757922264
ENPH,60,5,XGBoost,48,7.442935426844467,0.09464660953158321
ENPH,60,10,ARIMA,50,5.792795485962383,0.10760286256098427
ENPH,60,10,Naive,50,5.7862001001834855,0.1069701254967478
ENPH,60,10,XGBoost,48,8.219557575066846,0.13756366431883274
ENPH,60,20,ARIMA,50,8.927461861408993,0.15654394939554675
ENPH,60,20,Naive,50,8.924999868869781,0.15552239346694705
ENPH,60,20,XGBoost,48,14.99555732501409,0.23261978527625524
ENPH,90,1,ARIMA,50,2.0346894643480167,0.04333732474764293
ENPH,90,1,Naive,50,2.025599775314331,0.043041075534014935
ENPH,90,1,XGBoost,49,1.9897008877187317,0.039572281294919756
ENPH,90,5,ARIMA,50,4.571067105680665,0.0906202511970025
ENPH,90,5,Naive,50,4.548799755573273,0.09017737929606788
ENPH,90,5,XGBoost,48,4.726718939749489,0.09482567626676736
ENPH,90,10,ARIMA,50,4.773286888504327,0.10810367501374632
ENPH,90,10,Naive,50,4.762599416971208,0.10817507057432028
ENPH,90,10,XGBoost,48,6.4104647808558335,0.11505041315112448
ENPH,90,20,ARIMA,50,8.852702951465725,0.1709433759270825
ENPH,90,20,Naive,50,8.830199496746065,0.17124210109380233
ENPH,90,20,XGBoost,48,10.914020944924438,0.21666098854943897
ENPH,180,1,ARIMA,50,2.1919592906561576,0.03161792193345716
ENPH,180,1,Naive,50,2.1772001218795793,0.03137149899555341
ENPH,180,1,XGBoost,50,2.47745929211517,0.038932003406479045
ENPH,180,5,ARIMA,50,4.181508283378805,0.07504241544703995
ENPH,180,5,Naive,50,4.187800574302674,0.07518056264363895
ENPH,180,5,XGBoost,50,5.395065504957834,0.08693012100935191
ENPH,180,10,ARIMA,50,6.693702333397462,0.10747954173014546
ENPH,180,10,Naive,50,6.680399538278582,0.10740472428817945
ENPH,180,10,XGBoost,50,7.4374670663652385,0.13291516396362776
ENPH,180,20,ARIMA,50,10.564341046831343,0.17915452322603972
ENPH,180,20,Naive,50,10.554000096321106,0.17915577221171605
ENPH,180,20,XGBoost,50,11.95267754027855,0.20752383717035852
IONQ,30,1,ARIMA,50,1.1210153704571209,0.04783223478034744
IONQ,30,1,Naive,50,1.1073999929428102,0.04751082008736418
IONQ,30,1,XGBoost,45,1.4541778882016791,0.06076157791932059
IONQ,30,5,ARIMA,50,2.0849293915583638,0.10464240720452299
IONQ,30,5,Naive,50,2.073199982643127,0.1048606252262362
IONQ,30,5,XGBoost,45,3.1392593303570253,0.15786897266565783
IONQ,30,10,ARIMA,50,3.1794533623716803,0.16673704346306414
IONQ,30,10,Naive,50,3.1747998285293577,0.16753961186347552
IONQ,30,10,XGBoost,45,5.627651731987235,0.2690619308871613
IONQ,30,20,ARIMA,50,4.206850897310154,0.23146665456613685
IONQ,30,20,Naive,50,4.198799891471863,0.2324812405257349
IONQ,30,20,XGBoost,44,8.966383534024498,0.39302088331527985
IONQ,60,1,ARIMA,50,0.7310719065750368,0.0362884740771432
IONQ,60,1,Naive,50,0.7439998960494999,0.03667916931510689
IONQ,60,1,XGBoost,46,1.0329949336654274,0.047165337479968136
IONQ,60,5,ARIMA,50,2.478017898983124,0.1101906966980699
IONQ,60,5,Naive,50,2.4938000249862675,0.11053423838548648
IONQ,60,5,XGBoost,46,3.382885873232187,0.14755395882319353
IONQ,60,10,ARIMA,50,3.5184581611524446,0.1603845009115209
IONQ,60,10,Naive,50,3.5257998371124275,0.16123855995181344
IONQ,60,10,XGBoost,45,6.459301005732555,0.270278535731619
IONQ,60,20,ARIMA,50,4.562422283978386,0.2559808655189578
IONQ,60,20,Naive,50,4.602800235748291,0.2590897603359201
IONQ,60,20,XGBoost,45,11.813404474800594,0.48250627969526766
IONQ,90,1,ARIMA,50,1.0075387753735674,0.04497095021621849
IONQ,90,1,Naive,50,1.0009999608993534,0.044642509825487516
IONQ,90,1,XGBoost,47,1.3205263228200685,0.05402386832148356
IONQ,90,5,ARIMA,50,2.464134324236664,0.11184382573818702
IONQ,90,5,Naive,50,2.479000053405762,0.11284896282148908
IONQ,90,5,XGBoost,47,3.3101950539063023,0.1454838292884765
IONQ,90,10,ARIMA,50,3.520910598552174,0.1485104301123171
IONQ,90,10,Naive,50,3.534000110626221,0.14970738656609317
IONQ,90,10,XGBoost,47,5.912791841452993,0.2255016498144979
IONQ,90,20,ARIMA,50,4.949968626515904,0.22279701203740895
IONQ,90,20,Naive,50,4.955800151824951,0.2236083808198094
IONQ,90,20,XGBoost,46,10.85258876334522,0.40551821098116475
IONQ,180,1,ARIMA,50,0.9623013772006489,0.04285043856598711
IONQ,180,1,Naive,50,0.9626001310348506,0.04304136467931616
IONQ,180,1,XGBoost,50,1.3261434908907814,0.057876838589275705
IONQ,180,5,ARIMA,50,2.4976697949207445,0.11648898120410289
IONQ,180,5,Naive,50,2.502199926376343,0.11706508234437507
IONQ,180,5,XGBoost,50,3.345202047801596,0.1416812312923169
IONQ,180,10,ARIMA,50,3.199072142504325,0.15515213819005783
IONQ,180,10,Naive,50,3.193600044250488,0.15501339739104078
IONQ,180,10,XGBoost,50,4.7593052542225145,0.21554545488922763
IONQ,180,20,ARIMA,50,4.711503406663237,0.24833402891161088
IONQ,180,20,Naive,50,4.722800097465515,0.2488824231210207
IONQ,180,20,XGBoost,50,9.381516375859695,0.38900674768322624
MSFT,30,1,ARIMA,50,2.3359113618767946,0.014741218831827767
MSFT,30,1,Naive,50,2.384216346740723,0.015058008165146068
MSFT,30,1,XGBoost,48,2.8451061833612203,0.016371452375835125
MSFT,30,5,ARIMA,50,3.676178094383922,0.021655006512259923
MSFT,30,5,Naive,50,3.7353300476074214,0.0218239125540089
