ticker,cutoff_date,horizon,model,actual,p10,p50,p90,p10_breach,p90_breach
ENPH,2017-03-13,10,Chronos-LoRA-V2,1.2400000095367432,0.5420566220224007,1.1775360001293946,2.5026220662691636,0.0,0.0
ENPH,2017-03-13,10,Chronos-LoRA-V3,1.2400000095367432,0.5312141339187779,1.1593734689809854,2.5183603789041444,0.0,0.0
ENPH,2017-03-13,20,Chronos-LoRA-V1,1.350000023841858,0.20014020575360134,1.067709079856454,5.770487567776292,0.0,0.0
ENPH,2017-03-13,20,Chronos-LoRA-V2,1.350000023841858,0.2357500224778066,1.1155774857806942,5.059362455655493,0.0,0.0
ENPH,2017-03-13,20,Chronos-LoRA-V3,1.350000023841858,0.220187776173072,1.0848892650282713,5.328932191736368,0.0,0.0
ENPH,2017-06-16,1,Chronos-LoRA-V1,0.800000011920929,0.7246128670407572,0.7654243140809506,0.8069965334630034,0.0,0.0
ENPH,2017-06-16,1,Chronos-LoRA-V2,0.800000011920929,0.7268765056337528,0.7669067394284173,0.8071039164938167,0.0,0.0
ENPH,2017-06-16,1,Chronos-LoRA-V3,0.800000011920929,0.7266394714168969,0.7664765248713974,0.8073135495390449,0.0,0.0
ENPH,2017-06-16,5,Chronos-LoRA-V1,0.8899999856948853,0.5624386149428355,0.747231002038159,0.9878709691012681,0.0,0.0
ENPH,2017-06-16,5,Chronos-LoRA-V2,0.8899999856948853,0.5743420382790414,0.7540596247361904,0.9822115472251192,0.0,0.0
ENPH,2017-06-16,5,Chronos-LoRA-V3,0.8899999856948853,0.5705250136823687,0.7506734248838105,0.9850321591149916,0.0,0.0
ENPH,2017-06-16,10,Chronos-LoRA-V1,0.8700000047683716,0.4115326634120567,0.7268629855843011,1.27393049970369,0.0,0.0
ENPH,2017-06-16,10,Chronos-LoRA-V2,0.8700000047683716,0.4298708352110738,0.7388514650796747,1.2517828099501276,0.0,0.0
ENPH,2017-06-16,10,Chronos-LoRA-V3,0.8700000047683716,0.42193941032796817,0.7325990286452951,1.2671180354966987,0.0,0.0
ENPH,2017-06-16,20,Chronos-LoRA-V1,0.800000011920929,0.22103107938622882,0.6835644688834487,2.080735458542343,0.0,0.0
ENPH,2017-06-16,20,Chronos-LoRA-V2,0.800000011920929,0.2391244661525647,0.7039524276471654,2.009864678732678,0.0,0.0
ENPH,2017-06-16,20,Chronos-LoRA-V3,0.800000011920929,0.23296302384511272,0.6933851033654387,2.0452697931142363,0.0,0.0
ENPH,2017-09-22,1,Chronos-LoRA-V1,1.3600000143051147,1.33068526996665,1.4065070668482023,1.4863820963089618,0.0,0.0
ENPH,2017-09-22,1,Chronos-LoRA-V2,1.3600000143051147,1.3310227386871798,1.4077455942311998,1.4860443375111547,0.0,0.0
ENPH,2017-09-22,1,Chronos-LoRA-V3,1.3600000143051147,1.3337561727275677,1.4079586448523174,1.4859190753921534,0.0,0.0
ENPH,2017-09-22,5,Chronos-LoRA-V1,1.5199999809265137,1.0562728743165182,1.3934155030688005,1.8384360309149617,0.0,0.0
ENPH,2017-09-22,5,Chronos-LoRA-V2,1.5199999809265137,1.057013339987485,1.3988639503325588,1.8381233181157457,0.0,0.0
ENPH,2017-09-22,5,Chronos-LoRA-V3,1.5199999809265137,1.0681850790505192,1.3970753807517535,1.8280370526809464,0.0,0.0
ENPH,2017-09-22,10,Chronos-LoRA-V1,1.4900000095367432,0.7958536136459378,1.3795225399922213,2.3887866318129483,0.0,0.0
ENPH,2017-09-22,10,Chronos-LoRA-V2,1.4900000095367432,0.7974181845758451,1.3888730518633896,2.380858701928294,0.0,0.0
ENPH,2017-09-22,10,Chronos-LoRA-V3,1.4900000095367432,0.8113220384068899,1.3844430616924868,2.3614495728664044,0.0,0.0
ENPH,2017-09-22,20,Chronos-LoRA-V1,1.3700000047683716,0.44836245079548515,1.3407725244290576,3.997397876785523,0.0,0.0
ENPH,2017-09-22,20,Chronos-LoRA-V2,1.3700000047683716,0.4530167802240775,1.3600577937474105,3.9554186301396204,0.0,0.0
ENPH,2017-09-22,20,Chronos-LoRA-V3,1.3700000047683716,0.4646376816457452,1.349368560408861,3.9184781898702075,0.0,0.0
ENPH,2017-12-28,1,Chronos-LoRA-V1,2.4100000858306885,2.343282758339706,2.4876451730195606,2.6409594388571116,0.0,0.0
ENPH,2017-12-28,1,Chronos-LoRA-V2,2.4100000858306885,2.3545117040685284,2.489165945220245,2.62551128031328,0.0,0.0
ENPH,2017-12-28,1,Chronos-LoRA-V3,2.4100000858306885,2.3473552625065492,2.4893238474271904,2.6391830453180853,0.0,0.0
ENPH,2017-12-28,5,Chronos-LoRA-V1,2.470000028610229,1.824654146288717,2.4777792700351715,3.3703403106149064,0.0,0.0
ENPH,2017-12-28,5,Chronos-LoRA-V2,2.470000028610229,1.8791050698544731,2.4860465194077297,3.2570559115887856,0.0,0.0
ENPH,2017-12-28,5,Chronos-LoRA-V3,2.470000028610229,1.838876632288986,2.479769111105817,3.3434293974656626,0.0,0.0
ENPH,2017-12-28,10,Chronos-LoRA-V1,2.240000009536743,1.3260640410463407,2.4635317332132813,4.584758044604914,0.0,0.0
ENPH,2017-12-28,10,Chronos-LoRA-V2,2.240000009536743,1.417132556630915,2.4796708938159493,4.244483958302144,0.0,0.0
ENPH,2017-12-28,10,Chronos-LoRA-V3,2.240000009536743,1.3453448296193158,2.464207351460107,4.502310453546786,0.0,0.0
ENPH,2017-12-28,20,Chronos-LoRA-V1,2.0299999713897705,0.686206352234429,2.4200988877273395,8.613180261741762,0.0,0.0
ENPH,2017-12-28,20,Chronos-LoRA-V2,2.0299999713897705,0.7890428480219731,2.456468984880155,7.36586477629645,0.0,0.0
ENPH,2017-12-28,20,Chronos-LoRA-V3,2.0299999713897705,0.716233756864885,2.4208675601476357,8.223095467797476,0.0,0.0
ENPH,2018-04-09,1,Chronos-LoRA-V1,4.0,3.931811659585421,4.1540623863373405,4.394253830577252,0.0,0.0
ENPH,2018-04-09,1,Chronos-LoRA-V2,4.0,3.9205598480888226,4.156049636538766,4.397743258340014,0.0,0.0
ENPH,2018-04-09,1,Chronos-LoRA-V3,4.0,3.9373752803148294,4.158467931835324,4.39604602567877,0.0,0.0
ENPH,2018-04-09,5,Chronos-LoRA-V1,3.9600000381469727,3.1487445492200625,4.183688488428654,5.604086688291616,0.0,0.0
ENPH,2018-04-09,5,Chronos-LoRA-V2,3.9600000381469727,3.115853428357244,4.184083243744522,5.577622245449585,0.0,0.0
ENPH,2018-04-09,5,Chronos-LoRA-V3,3.9600000381469727,3.1736478705147655,4.192740202633854,5.56843734698371,0.0,0.0
ENPH,2018-04-09,10,Chronos-LoRA-V1,4.960000038146973,2.3366962954076738,4.22964311509986,7.738552987915879,0.0,0.0
ENPH,2018-04-09,10,Chronos-LoRA-V2,4.960000038146973,2.3386734855814573,4.223081311930698,7.502394300957365,0.0,0.0
ENPH,2018-04-09,10,Chronos-LoRA-V3,4.960000038146973,2.3788734979386934,4.239851415416159,7.583333612387377,0.0,0.0
ENPH,2018-04-09,20,Chronos-LoRA-V1,4.590000152587891,1.1683842190250877,4.185363188344134,14.940606062963118,0.0,0.0
ENPH,2018-04-09,20,Chronos-LoRA-V2,4.590000152587891,1.2841766795420653,4.2755784067642155,13.709411136404437,0.0,0.0
ENPH,2018-04-09,20,Chronos-LoRA-V3,4.590000152587891,1.241240842501074,4.234065511997045,14.283986077578811,0.0,0.0
ENPH,2018-07-13,1,Chronos-LoRA-V1,6.730000019073486,6.561208648841967,7.043022285006911,7.548523466887941,0.0,0.0
ENPH,2018-07-13,1,Chronos-LoRA-V2,6.730000019073486,6.6355461941616865,7.056000928235616,7.488037413313138,0.0,0.0
ENPH,2018-07-13,1,Chronos-LoRA-V3,6.730000019073486,6.593740041296906,7.054107665781602,7.536416987317356,0.0,0.0
ENPH,2018-07-13,5,Chronos-LoRA-V1,6.760000228881836,4.892191626464718,7.025206031699646,10.107843530184939,0.0,0.0
ENPH,2018-07-13,5,Chronos-LoRA-V2,6.760000228881836,5.204363629190429,7.113839131076572,9.661279990682699,0.0,0.0
ENPH,2018-07-13,5,Chronos-LoRA-V3,6.760000228881836,5.006651897974601,7.070886315141466,9.970940197022271,0.0,0.0
ENPH,2018-07-13,10,Chronos-LoRA-V1,5.590000152587891,3.4079822345997353,7.035309085421512,14.570557234398672,0.0,0.0
ENPH,2018-07-13,10,Chronos-LoRA-V2,5.590000152587891,3.853266932343841,7.199314975946726,13.251769694822416,0.0,0.0
ENPH,2018-07-13,10,Chronos-LoRA-V3,5.590000152587891,3.5480143253319536,7.112117091641519,14.183447732421495,0.0,0.0
ENPH,2018-07-13,20,Chronos-LoRA-V1,5.710000038146973,1.9027465048677896,7.182442371704451,27.091946857060456,0.0,0.0
ENPH,2018-07-13,20,Chronos-LoRA-V2,5.710000038146973,2.138697560516591,7.367021084343716,24.669768567075465,0.0,0.0
ENPH,2018-07-13,20,Chronos-LoRA-V3,5.710000038146973,1.9774963641199914,7.281052239392494,26.568720299816825,0.0,0.0
ENPH,2018-10-18,1,Chronos-LoRA-V1,4.739999771118164,4.630386060399519,4.881311558274158,5.156847216826265,0.0,0.0
ENPH,2018-10-18,1,Chronos-LoRA-V2,4.739999771118164,4.623473524605202,4.882373244888322,5.153627712411327,0.0,0.0
ENPH,2018-10-18,1,Chronos-LoRA-V3,4.739999771118164,4.637967962353616,4.887124303353792,5.160524485663477,0.0,0.0
ENPH,2018-10-18,5,Chronos-LoRA-V1,4.400000095367432,3.7290532936184158,4.917213945236485,6.572205619363084,0.0,0.0
ENPH,2018-10-18,5,Chronos-LoRA-V2,4.400000095367432,3.7404578664521195,4.92720079727446,6.493057515176718,0.0,0.0
ENPH,2018-10-18,5,Chronos-LoRA-V3,4.400000095367432,3.7624940025179563,4.939776703984093,6.564868036050395,0.0,0.0
ENPH,2018-10-18,10,Chronos-LoRA-V1,4.909999847412109,2.7781087489991285,4.9305239750840215,8.964229559445611,0.0,0.0
ENPH,2018-10-18,10,Chronos-LoRA-V2,4.909999847412109,2.8616342715442387,4.981590317211969,8.66072027833752,0.0,0.0
ENPH,2018-10-18,10,Chronos-LoRA-V3,4.909999847412109,2.8262483964507465,4.983558359708896,8.95983220074648,0.0,0.0
ENPH,2018-10-18,20,Chronos-LoRA-V1,5.539999961853027,1.4736837243921557,4.922377004159238,17.340751748219855,0.0,0.0
ENPH,2018-10-18,20,Chronos-LoRA-V2,5.539999961853027,1.643216718637878,5.078869992779726,15.627712204162684,0.0,0.0
ENPH,2018-10-18,20,Chronos-LoRA-V3,5.539999961853027,1.5413925200743452,5.02084735781819,17.037246613840797,0.0,0.0
ENPH,2019-01-28,1,Chronos-LoRA-V1,7.099999904632568,6.509059866597583,6.891032891596525,7.322656917509816,0.0,0.0
ENPH,2019-01-28,1,Chronos-LoRA-V2,7.099999904632568,6.569653111865265,6.922261234036853,7.2871626723197185,0.0,0.0
ENPH,2019-01-28,1,Chronos-LoRA-V3,7.099999904632568,6.527545835076146,6.905471301306111,7.321650418026523,0.0,0.0
ENPH,2019-01-28,5,Chronos-LoRA-V1,7.0,5.197758127727703,6.856004042308853,9.302268505282168,0.0,0.0
ENPH,2019-01-28,5,Chronos-LoRA-V2,7.0,5.399129234223027,7.002553574273479,9.065543576900652,0.0,0.0
ENPH,2019-01-28,5,Chronos-LoRA-V3,7.0,5.243405991327985,6.897876658265278,9.251392973833264,0.0,0.0
ENPH,2019-01-28,10,Chronos-LoRA-V1,7.730000019073486,4.056993543320275,6.970743642755218,12.642568457292715,0.0,0.0
ENPH,2019-01-28,10,Chronos-LoRA-V2,7.730000019073486,4.255504362002662,7.104989873992207,11.836762230803386,0.0,0.0
ENPH,2019-01-28,10,Chronos-LoRA-V3,7.730000019073486,4.099427931918906,6.998843987482468,12.397443443807385,0.0,0.0
ENPH,2019-01-28,20,Chronos-LoRA-V1,8.09000015258789,2.4722766727663354,7.379442841008387,24.244779551090833,0.0,0.0
ENPH,2019-01-28,20,Chronos-LoRA-V2,8.09000015258789,2.61633124327112,7.299965884160808,20.308332701706235,0.0,0.0
ENPH,2019-01-28,20,Chronos-LoRA-V3,8.09000015258789,2.5333850667358915,7.3775615165071,22.805294232797113,0.0,0.0
ENPH,2019-05-06,1,Chronos-LoRA-V1,14.210000038146973,13.221215314569069,13.79905152014533,14.45279955849043,0.0,0.0
ENPH,2019-05-06,1,Chronos-LoRA-V2,14.210000038146973,13.186748933894169,13.808954268617835,14.469949429395948,0.0,0.0
ENPH,2019-05-06,1,Chronos-LoRA-V3,14.210000038146973,13.22796113125031,13.814010685974495,14.46854775785173,0.0,0.0
ENPH,2019-05-06,5,Chronos-LoRA-V1,13.6899995803833,11.315998389164033,13.96333281399063,17.579228809584567,0.0,0.0
ENPH,2019-05-06,5,Chronos-LoRA-V2,13.6899995803833,11.172034465156488,14.034397961884336,17.73734035747896,0.0,0.0
ENPH,2019-05-06,5,Chronos-LoRA-V3,13.6899995803833,11.331570836786826,14.018688376819911,17.645379261591238,0.0,0.0
ENPH,2019-05-06,10,Chronos-LoRA-V1,14.3100004196167,9.36733773854012,14.126640073440798,22.12464036443855,0.0,0.0
ENPH,2019-05-06,10,Chronos-LoRA-V2,14.3100004196167,9.11125348652645,14.296569875866437,22.696587557769284,0.0,0.0
ENPH,2019-05-06,10,Chronos-LoRA-V3,14.3100004196167,9.371678137709617,14.232126391425329,22.35701258927045,0.0,0.0
ENPH,2019-05-06,20,Chronos-LoRA-V1,15.970000267028809,6.373832994175899,14.441286399198399,35.09449722551202,0.0,0.0
ENPH,2019-05-06,20,Chronos-LoRA-V2,15.970000267028809,6.050764556907196,14.816276644545702,37.02655937735439,0.0,0.0
ENPH,2019-05-06,20,Chronos-LoRA-V3,15.970000267028809,6.37490405059088,14.658914366171288,35.86216986901466,0.0,0.0
ENPH,2019-08-09,1,Chronos-LoRA-V1,30.899999618530277,30.699109549244863,32.016252250148874,33.42184606156716,0.0,0.0
ENPH,2019-08-09,1,Chronos-LoRA-V2,30.899999618530277,30.6236993483702,32.05315425270349,33.528360305569244,0.0,0.0
ENPH,2019-08-09,1,Chronos-LoRA-V3,30.899999618530277,30.71623013097816,32.052970291352786,33.48008129242364,0.0,0.0
ENPH,2019-08-09,5,Chronos-LoRA-V1,32.029998779296875,26.497914944859758,32.68070590049525,40.58512990318047,0.0,0.0
ENPH,2019-08-09,5,Chronos-LoRA-V2,32.029998779296875,26.173980603084885,32.87639054474937,41.26356628943748,0.0,0.0
ENPH,2019-08-09,5,Chronos-LoRA-V3,32.029998779296875,26.562640635592796,32.79932978828092,40.80638315476632,0.0,0.0
ENPH,2019-08-09,10,Chronos-LoRA-V1,33.400001525878906,22.182935650675898,33.55342706155374,51.35404350705706,0.0,0.0
ENPH,2019-08-09,10,Chronos-LoRA-V2,33.400001525878906,21.57571349493063,33.924137430625585,53.22001520165285,0.0,0.0
ENPH,2019-08-09,10,Chronos-LoRA-V3,33.400001525878906,22.238545823902587,33.74827983995572,51.93940594050433,0.0,0.0
ENPH,2019-08-09,20,Chronos-LoRA-V1,23.799999237060547,15.336740794587312,35.224923832532255,83.2219628095708,0.0,0.0
ENPH,2019-08-09,20,Chronos-LoRA-V2,23.799999237060547,14.565437805190829,35.99898677775956,88.7601431809066,0.0,0.0
ENPH,2019-08-09,20,Chronos-LoRA-V3,23.799999237060547,15.406673390293165,35.62313687319191,85.00479395959975,0.0,0.0
ENPH,2019-11-14,1,Chronos-LoRA-V1,19.31999969482422,18.075439134753537,19.06260731240576,20.042495726241263,0.0,0.0
ENPH,2019-11-14,1,Chronos-LoRA-V2,19.31999969482422,18.163463766730388,19.085198870183415,19.991594597521452,0.0,0.0
ENPH,2019-11-14,1,Chronos-LoRA-V3,19.31999969482422,18.139535085436226,19.08712808494682,20.024369656735363,0.0,0.0
ENPH,2019-11-14,5,Chronos-LoRA-V1,18.81999969482422,14.73670207148815,19.35932813966852,25.06898847717089,0.0,0.0
ENPH,2019-11-14,5,Chronos-LoRA-V2,18.81999969482422,15.153327822416525,19.47531218764466,24.69957147140759,0.0,0.0
ENPH,2019-11-14,5,Chronos-LoRA-V3,18.81999969482422,14.996360191532483,19.43714446986266,24.868726325306916,0.0,0.0
ENPH,2019-11-14,10,Chronos-LoRA-V1,21.8700008392334,11.334363252375956,19.76129117240072,33.28608814838271,0.0,0.0
ENPH,2019-11-14,10,Chronos-LoRA-V2,21.8700008392334,12.054482032637262,19.973848652925664,32.15732262590328,0.0,0.0
ENPH,2019-11-14,10,Chronos-LoRA-V3,21.8700008392334,11.719753285765567,19.89279146181205,32.73211923282358,0.0,0.0
ENPH,2019-11-14,20,Chronos-LoRA-V1,24.6200008392334,6.661008355558944,20.587963803757066,59.12548745424612,0.0,0.0
ENPH,2019-11-14,20,Chronos-LoRA-V2,24.6200008392334,7.558959706881217,20.986365064976326,54.79225584210178,0.0,0.0
ENPH,2019-11-14,20,Chronos-LoRA-V3,24.6200008392334,7.141135644683513,20.83059931813074,56.97457799930633,0.0,0.0
ENPH,2020-02-24,1,Chronos-LoRA-V1,50.900001525878906,52.94245077025223,55.60346297188491,58.375393584187286,1.0,0.0
ENPH,2020-02-24,1,Chronos-LoRA-V2,50.900001525878906,52.933981774432425,55.66181545637375,58.4670328941267,1.0,0.0
ENPH,2020-02-24,1,Chronos-LoRA-V3,50.900001525878906,53.02328514209196,55.650817736342255,58.39349907175439,1.0,0.0
ENPH,2020-02-24,5,Chronos-LoRA-V1,51.400001525878906,44.74856253726793,56.95975111853826,72.30851139562489,0.0,0.0
ENPH,2020-02-24,5,Chronos-LoRA-V2,51.400001525878906,44.66976423799784,57.24550344522353,73.06384276309304,0.0,0.0
ENPH,2020-02-24,5,Chronos-LoRA-V3,51.400001525878906,45.00657443036303,57.080075344611124,72.30191320436631,0.0,0.0
ENPH,2020-02-24,10,Chronos-LoRA-V1,43.380001068115234,36.29775841740144,58.78185382865094,94.35559723360488,0.0,0.0
ENPH,2020-02-24,10,Chronos-LoRA-V2,43.380001068115234,36.27502050904142,59.31044767279062,95.90810228735346,0.0,0.0
ENPH,2020-02-24,10,Chronos-LoRA-V3,43.380001068115234,36.69010448609821,58.97164864202341,94.22396868164431,0.0,0.0
ENPH,2020-02-24,20,Chronos-LoRA-V1,27.51000022888184,23.749919614044263,62.22906653119887,160.287621171044,0.0,0.0
ENPH,2020-02-24,20,Chronos-LoRA-V2,27.51000022888184,23.636377207091243,63.2530030515923,165.03866919055906,0.0,0.0
ENPH,2020-02-24,20,Chronos-LoRA-V3,27.51000022888184,24.13720619370985,62.54181828934914,160.19598738458342,0.0,0.0
ENPH,2020-06-01,1,Chronos-LoRA-V1,56.95000076293945,55.6552277473341,59.98086724554589,64.54030545715935,0.0,0.0
ENPH,2020-06-01,1,Chronos-LoRA-V2,56.95000076293945,56.35803204955581,60.05451438058781,63.85875215413053,0.0,0.0
